Infinitiv,Präsens,Partizip II,Präteritum,Konjunktiv II,Übersetzung,Beschreibung,Kasus,Treffer Konjugations,Treffer Deutsch,Treffer Spanisch
erkündigen,erkündigt,hat erkündigt,erkündigte,erkündigte,proclamar/anunciar,-,-,0/0,0/0,0/0
ankündigen,kündigt an,hat angekündigt,kündigte an,kündigte an,anunciar,-,-,0/0,0/0,0/0
mitteilen,teilt mit,hat mitgeteilt,teilte mit,teilte mit,comunicar/informar,-,Dat,0/0,0/0,0/0
verständigen,verständigt,hat verständigt,verständigte,verständigte,informar/notificar,-,-,0/0,0/0,0/0
kontrollieren,kontrolliert,hat kontrolliert,kontrollierte,kontrollierte,controlar,-,Akk,0/0,0/0,0/0
kosten,kostet,hat gekostet,kostete,kostete,costar,-,Akk,0/0,0/0,0/0
messen,misst,hat gemessen,messete,messete,medir,-,Akk,0/0,0/0,0/0
rauchen,raucht,hat geraucht,rauchte,rauchte,fumar,-,Akk,0/0,0/0,0/0
bestimmten,bestimmt,hat bestimmt,bestimmte,bestimmte,determinar,-,Akk,0/0,0/0,0/0
erlauben,erlaubt,hat erlaubt,erlaubte,erlaubte,permitir,-,Akk,0/0,0/0,0/0
dienen,dient,hat gedient,diente,diente,servir/atender,servir a alguien,Dat,0/0,0/0,0/0
nützen,nützt,hat genützt,nützte,nützte,servir/aprovechar,ser útil,Dat,0/0,0/0,0/0
vergleichen,vergleicht,hat verglichen,verglich,vergleiche,comparar,-,Akk,0/0,0/0,0/0
vorbereiten,bereitet vor,hat vorbereitet,bereitete vor,bereitete vor,preparar,-,Akk,0/0,0/0,0/0
kündigen,kündigt,hat gekündigt,kündigte,kündigte,despedir/anular/renunciar,-,Akk,0/0,0/0,0/0
verabschieden,verabschiedet,hat verabschiedet,verabschiedete,verabschiedete,despedirse,-,Akk,0/0,0/0,0/0
operieren,operiert,hat operiert,operierte,operierte,operar,-,Akk,0/0,0/0,0/0
mieten,mietet,hat gemietet,mietete,mietete,rentar/alquilar,-,Akk,0/0,0/0,0/0
grüßen,grüßt,hat gegrüßt,grüßte,grüßte,saludar,general,Akk,0/0,0/0,0/0
begrüßen,begrüßt,hat begrüßt,begrüßte,begrüßte,saludar,como dar la bienvenida,Akk,0/0,0/0,0/0
winken,winkt,hat gewinkt,winkte,winkte,saludar,con la mano desde lejos,Akk,0/0,0/0,0/0
einhalten,hält ein,hat eingehalten,hielt ein,hält ein,cumplir,-,Akk,0/0,0/0,0/0
achten,achtet,hat geachtet,achtete,achtete,respetar/considerar,-,Akk,0/0,0/0,0/0
besorgen,besorgt,hat besorgt,besorgte,besorgte,conseguir,-,Akk,0/0,0/0,0/0
empfehlen,empfiehlt,hat empfohlen,empfahl,empföhle,recomendar,-,AkkDat,0/0,0/0,0/0
buchsstabieren,buchstabiert,hat buchstabiert,buchstabierte,buchstabierte,deletrear,-,Akk,0/0,0/0,0/0
empfunden,empfindet,hat empfunden,empfand,empfände,sentir,sentimientos,Akk,0/0,0/0,0/0
fühlen,fühlt,hat gefühlt,fühlte,fühlte,sentir,sensaciones físicas o emocionales,Akk,0/0,0/0,0/0
zunicken,zunickt,hat zugenickt,zunickte,zunickte,asentir,-,Akk,0/0,0/0,0/0
benuzten,benuzt,hat benuzt,benuzte,benuzte,usar,general,Akk,0/0,0/0,0/0
verwenden,verwendet,hat verwendet,verwendete,verwendete,usar,más formal o técnico,Akk,0/0,0/0,0/0
duzen,duzt,hat geduzt,duzte,duzte,tutear,-,Akk,0/0,0/0,0/0
siezen,siezt,hat gesiezt,siezte,siezte,tratar de usted,-,Akk,0/0,0/0,0/0
vertrauen,vertraut,hat vertraut,vertraute,vertraute,confiar,-,Dat,0/0,0/0,0/0
umarmen,umarmt,hat umarmt,umarmte,umarmte,abrazar,-,Akk,0/0,0/0,0/0
vorstellen,stellt vor,hat vorgestellt,stelle vor,stelle vor,imaginar/presentar,-,Akk,0/0,0/0,0/0
vorlegen,legt vor,hat vorgelegt,legte vor,legte vor,entregar,entregar algo formalmente,-,0/0,0/0,0/0
schütteln,schüttelt,hat geschüttelt,schüttelte,schüttelte,agitar,-,Akk,0/0,0/0,0/0
vorschlagen,schlägt vor,hat vorgeschlagen,schlug vor,schlüge vor,sugerir,-,Akk,0/0,0/0,0/0
überzeugen,überzeugt,hat überzeugt,überzeugte,überzeugte,convencer,-,Akk,0/0,0/0,0/0
erreichen,erreicht,hat erreicht,erreichte,erreichte,lograr/alcanzar,general,Akk,0/0,0/0,0/0
schaffen,schafft,hat geschafft,schaffte,schaffte,lograr,lograr algo con esfuerzo,Akk,0/0,0/0,0/0
kritisieren,kritisiert,hat kritisiert,kritisierte,kritisierte,críticar,-,Akk,0/0,0/0,0/0
lügen,lügt,hat gelogen,lügte,lügte,mentir,-,Akk,0/0,0/0,0/0
verlangen,verlangt,hat verlangt,verlangte,verlangte,exigir,-,Akk,0/0,0/0,0/0
fordern,fordert,hat gefordert,forderte,forderte,exigir,-,Akk,0/0,0/0,0/0
bewerben,bewirbt,hat beworben,bewarb,bewürbe,solicitar/postularse,-,Akk,0/0,0/0,0/0
beantragen,beantragt,hat beantragt,beantragte,beantragte,solicitar,solicitar algo formalmente,Akk,0/0,0/0,0/0
dauern,dauert,hat gedauert,dauerte,dauerte,durar,-,Akk,0/0,0/0,0/0
kämpfen,kämpft,hat gekämpft,kämpfte,kämpfte,pelear,-,Akk,0/0,0/0,0/0
lösen,löst,hat gelöst,löste,löste,resolver,-,Akk,0/0,0/0,0/0
sollen,soll,hat gesollt,sollte,sollte,deber,-,Akk,0/0,0/0,0/0
aufregen,regt auf,hat aufgeregt,regte auf,regte auf,alterar/excitar,-,Akk,0/0,0/0,0/0
ausruhen,ruht aus,hat ausgeruht,ruhte aus,ruhte aus,descansar,-,-,0/0,0/0,0/0
beschweren,beschwert sich,hat sich beschwert,beschwerte sich,beschwerte sich,quejarse,-,Dat,0/0,0/0,0/0
klagen,klagt,hat geklagt,klagte,klagte,quejarse,-,-,0/0,0/0,0/0
meckern,meckert,hat gemeckert,meckerte,meckerte,quejarse,-,-,0/0,0/0,0/0
quengeln,quengelt,hat gequengelt,quengelte,quengelte,quejarse infantilmente,-,-,0/0,0/0,0/0
freuen,freut sich,hat sich gefreut,freute sich,freute sich,alegrarse,-,Akk,0/0,0/0,0/0
interessieren,interessiert sich,hat sich interessiert,interessierte sich,interessierte sich,interesar,-,Akk,0/0,0/0,0/0
küssen,küsst,hat geküsst,küsste,küsste,besar,-,Akk,0/0,0/0,0/0
raten,rät,hat geraten,riet,riete,aconsejar/adivinar,-,Dat,0/0,0/0,0/0
beraten,berät,hat beraten,beriet,beriete,aconsejar,dar consejo formal,Akk,0/0,0/0,0/0
abmelden,meldet ab,hat abgemeldet,meldete ab,meldete ab,darse de baja,-,Akk,0/0,0/0,0/0
anmelden,meldet an,hat angemeldet,meldete an,meldete an,registrarse,-,Akk,0/0,0/0,0/0
