Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
s,Formular,-,-e,-,Formulario,-,0/0 11-02-24,1/2 11-02-24
s,Anmeldeformular,-,-e,-,Formulario de registro,-,0/0 11-02-24,1/2 11-02-24
-,Notar,Notarin,-e,-nen,Notario,-,0/0 11-02-24,0/0 11-02-24
e,Arbeitsgenehmigung,-,-en,-,Permiso de trabajo,-,0/0 11-02-24,1/3 14-02-25
e,Anmeldebestätigung,-,-en,-,Confirmación de registro,-,1/2 11-02-24,0/0 11-02-24
e,Gebühr,-,-en,-,Cuota,-,0/0 11-02-24,1/3 11-02-24
e,Redewendung,-,-en,-,Expresión idiomática,-,0/0 11-02-24,0/0 11-02-24
r,Aufsatz,-,⸚e,-,Ensayo,-,0/0 11-02-24,0/0 11-02-24
e,USA,-,-,-,Estados Unidos,-,0/0 11-02-24,1/2 15-02-25
s,Japan,-,-,-,Japón,-,0/0 11-02-24,0/0 11-02-24
-,Japaner,Japanerin,-,-in,Japonés(a),-,0/0 11-02-24,0/0 11-02-24
s,Deutschland,-,-,-,Alemania,-,0/0 11-02-24,0/0 11-02-24
-,Deutscher,Deutsche,-,-in,Alemán(a),-,1/1 14-02-25,0/0 11-02-24
s,Frankreich,-,-,-,Francia,-,0/0 11-02-24,0/0 11-02-24
e,Schweiz,-,-,-,Suiza,-,0/0 11-02-24,0/0 11-02-24
-,Schweizer,Schweizerin,-,-in,Suizo(a),-,0/0 11-02-24,1/2 13-02-25
s,Italien,-,-,-,Italia,-,0/0 11-02-24,1/2 11-02-24
e,Niederlande,-,-,-,Países Bajos,-,0/0 11-02-24,0/0 11-02-24
s,Spanien,-,-,-,España,-,0/0 11-02-24,1/1 14-02-25
s,England,-,-,-,Inglaterra,-,0/0 11-02-24,1/1 11-02-24
s,Russland,-,-,-,Rusia,-,2/2 14-02-25,0/0 11-02-24
s,China,-,-,-,China,-,2/2 14-02-25,0/0 11-02-24
s,Brasilien,-,-,-,Brasil,-,1/4 15-02-25,0/0 11-02-24
-,Brasilianer,Brasilianerin,-,-in,Brasileño(a),-,0/0 11-02-24,2/5 13-02-25
s,Kanada,-,-,-,Canadá,-,0/0 11-02-24,0/0 11-02-24
-,Kanadier,Kanadierin,-,-in,Canadiense,-,1/1 14-02-25,0/0 11-02-24
s,Australien,-,-,-,Australia,-,0/0 11-02-24,1/2 14-02-25
-,Australier,Australierin,-,-in,Australiano(a),-,0/0 11-02-24,2/3 14-02-25
s,Mexiko,-,-,-,México,-,0/0 11-02-24,0/0 11-02-24
-,Mexikaner,Mexikanerin,-,-in,Mexicano(a),-,1/1 14-02-25,1/1 13-02-25
s,Indien,-,-,-,India,-,0/0 11-02-24,0/0 11-02-24
-,Inder,Inderin,-,-in,Indio(a),-,0/0 11-02-24,0/0 11-02-24
e,Türkei,-,-,-,Turquía,-,0/0 11-02-24,1/2 11-02-24
