Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
s,Ausatmen,-,-,-,Exhalación,-,1/2 14-02-25,0/0 11-02-24
e,Anstrengung,-,-en,-,Esfuerzo,-,0/0 11-02-24,1/2 15-02-25
s,Gedicht,-,-e,-,Poema,-,0/0 11-02-24,1/2 11-02-24
r,Ernst,-,-,-,Seriedad,-,1/2 15-02-25,0/0 11-02-24
e,Wiederholung,-,-en,-,Repetición,-,1/2 14-02-25,0/0 11-02-24
s,Publikum,-,-,-,Público,-,0/0 11-02-24,1/2 11-02-24
e,Bemerkung,-,-en,-,Observación,-,0/0 11-02-24,1/2 11-02-24
-,Verletzte,Verletzte,-n,-n,Herido(a),-,1/2 11-02-24,1/3 11-02-24
e,Leute,-,-,-,Gente,-,0/0 11-02-24,1/2 11-02-24
e,Bühne,-,-n,-,Escenario,-,1/2 15-02-25,1/2 11-02-24
e,Reaktion,-,-en,-,Reacción,-,0/0 11-02-24,0/0 11-02-24
e,Unterschrift,-,-en,-,Firma,-,0/0 11-02-24,0/0 11-02-24
e,Nationalität,-,-en,-,Nacionalidad,-,1/1 11-02-24,0/0 11-02-24
e,Anmeldung,-,-en,-,Inscripción,-,0/0 11-02-24,1/2 11-02-24
e,Faxnummer,-,-n,-,Número de fax,-,0/0 11-02-24,1/2 11-02-24
e,Postleitzahl,-,-en,-,Código postal,-,0/0 11-02-24,0/0 11-02-24
r,Nachname,-,-n,-,Apellido,-,0/0 11-02-24,1/2 11-02-24
r,Zuname,-,-n,-,Apellido,-,1/2 14-02-25,2/3 14-02-25
r,Geburtsname,-,-n,-,Apellido de nacimiento,-,0/0 11-02-24,0/0 11-02-24
r,Mädchenname,-,-n,-,Apellido de soltera,-,0/0 11-02-24,0/0 11-02-24
r,Doppelname,-,-n,-,Apellido compuesto,-,0/0 11-02-24,0/0 11-02-24
r,Titel,-,-,-,Título,-,0/0 11-02-24,0/0 11-02-24
r,Spitzname,-,-n,-,Apodo,-,0/0 11-02-24,1/2 11-02-24
e,Initialen,-,-,-,Iniciales,-,0/0 11-02-24,0/0 11-02-24
r,Kosename,-,-n,-,Sobrenombre cariñoso,-,0/0 11-02-24,1/2 11-02-24
r,Rufname,-,-n,-,Nombre de uso,-,0/0 11-02-24,2/5 11-02-24
r,Führerschein,-,-e,-,Licencia de conducir,-,1/2 11-02-24,1/2 13-02-25
r,Schatz,-,⸚e,-,Tesoro,-,1/2 11-02-24,0/0 11-02-24
r,Liebling,-,-e,-,Favorito,-,0/0 11-02-24,0/0 11-02-24
r,Engel,-,-,-,Ángel,-,0/0 11-02-24,1/2 11-02-24
r,Spatz,-,-en,-,Gorrión,-,0/0 11-02-24,0/0 11-02-24
r,Mausi,-,-,-,Ratón,cariñoso,0/0 11-02-24,1/2 14-02-25
e,Süße,-,-n,-,Dulzura,-,0/0 11-02-24,0/0 11-02-24
